,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
0,Where did roger marquis die,['Roger Marquis'],['roger marquis'],['roger marquis'],[],['roger marquis']
1,what was the cause of death of yves klein,['Yves Klein'],['yves klein'],['yves klein'],[],['yves klein']
2,how does engelbert zaschka identify ,['Engelbert Zaschka'],['engelbert zaschka'],['engelbert zaschka'],"['engel', 'zasch']",['engelbert zaschka']
3,what position does pee wee reese play in baseball,['Pee Wee Reese'],['pee wee reese'],['pee wee reese'],[],['pee wee reese']
4,Which Swiss conductor's cause of death is myocardial infarction?,['myocardial infarction'],['swiss conductor'],['Swiss'],['Swiss'],['Swiss']
5,where was padraic mcguinness's place of death,['Padraic McGuinness'],['padraic mcguinness'],['padraic mcguinness'],[],['padraic mcguinness']
6,what is the place of birth of sam edwards?,['Sam Edwards'],['sam edwards'],['sam edwards'],[],['sam edwards']
7,Which home is an example of italianate architecture?,['Italianate architecture'],['italianate architecture'],['italianate'],[],['italianate']
8,who published neo contra,['Neo Contra'],['neo contra'],[],[],['neo contra']
9,what is angie estes's profession ,['Angie Estes'],['angie estes'],['angie estes'],[],['angie estes']
10,what position does josé francisco torres play?,['José Francisco Torres'],['jose francisco torres'],['josé francisco torres'],[],['josÃ© francisco torres']
11,what male actor was born in  warsaw,['Warsaw'],['warsaw'],['warsaw'],[],['warsaw']
12,who was also born in jakarta,['Jakarta'],['jakarta'],['jakarta'],['jakarta'],['jakarta']
13,Who was born in prague,['Prague'],['prague'],['prague'],[],['prague']
14,where was guy pnini born,['Guy Pnini'],['guy pnini'],['guy pnini'],[],['guy pnini']
15,what is an album recorded by scott grimes,['Scott Grimes'],['scott grimes'],['scott grimes'],[],['scott grimes']
16,what was the country of origin of the tv show sidewalks entertainment,['Sidewalks Entertainment'],['tv show sidewalks entertainment'],[],[],['sidewalks entertainment']
17,who was the architect of the structure tour perret,['Tour Perret'],['structure tour perret'],[],[],['tour perret']
18,What is an album by guy clark?,['Guy Clark'],['guy clark'],['guy clark'],[],['guy clark']
19,what's the name of an Australian rock and roll,['rock and roll'],['australian rock and roll'],['Australian'],['Australian'],['Australian']
20,what is the category of the celestial object 1241 dysona,['1241 Dysona'],['celestial object 1241 dysona'],[],[],['dysona']
21,What is a type of gameplay available to gamers playing custom robo v2,['Custom Robo V2'],['custom robo v2'],[],[],['custom robo v2']
22,What's an example of a romance film,['romance film'],['romance film'],[],[],[]
23,where was shigeyasu suzuki's place of birth,['Shigeyasu Suzuki'],['shigeyasu suzuki'],['shigeyasu suzuki'],['hi'],['shigeyasu suzuki']
24,which indian city was fazil born in,['Fazil'],"['indian city', 'fazil']","['indian', 'fazil']",['dian'],"['indian', 'fazil']"
25,where was paolo de la haza born?,['Paolo de la Haza'],['paolo de la haza'],['paolo de la haza'],"['paolo', 'la ha']",['paolo de la haza']
26,what gender is daniela cristofori ,['Daniela Cristofori'],['daniela cristofori'],['daniela cristofori'],['da'],['daniela cristofori']
27,in which country was overnight delivery filmed in,['Overnight Delivery'],"['country', 'overnight delivery']",[],[],[]
28,what is the second level division of the division crixás do tocantins,['Crixás do Tocantins'],['crixas do tocantins'],[],[],['crixÃ¡s do tocantins']
29,Which film was directed by ian iqbal rashid,['Ian Iqbal Rashid'],['ian iqbal rashid'],['ian iqbal rashid'],"['i', 'iq']",['ian iqbal rashid']
30,in what county is monango found,['Monango'],['monango'],[],[],['monango']
31,who recorded rca records,['RCA Records'],"['rca records', 'who']",[],[],['rca']
32,who is the artist of breathing your love?,['Breathing Your Love'],['love'],[],[],[]
33,What is a gampelay mode found in the game allegiance,['Allegiance'],"['gampelay mode', 'game allegiance']",[],[],[]
34,What type of film is raghuvinte swantham raziya,['Raghuvinte Swantham Raziya'],['raghuvinte swantham raziya'],['raghuvinte swantham raziya'],[],['raghuvinte swantham raziya']
35,Which films has leonid gaidai written,['Leonid Gaidai'],"['which films', 'leonid gaidai']",['leonid gaidai'],[],['leonid gaidai']
36,What is an organization that j. a. folger founded?,['J. A. Folger'],['j. a. folger'],['j. a. folger'],[],['j. a. folger']
37,What is shinji mori's gender?,['Shinji Mori'],['shinji mori'],['shinji mori'],[],['shinji mori']
38,what style of msuic did john pizzarelli play ,['John Pizzarelli'],"['msuic', 'john pizzarelli']",['john pizzarelli'],['pizza'],"['msu', 'john pizzarelli']"
